date_id,date,year,month,quarter,day_of_week,is_weekend
20200310,2020-03-10,2020,3,1,Tuesday,0
20200311,2020-03-11,2020,3,1,Wednesday,0
20200312,2020-03-12,2020,3,1,Thursday,0
20200313,2020-03-13,2020,3,1,Friday,0
20200314,2020-03-14,2020,3,1,Saturday,1
20200315,2020-03-15,2020,3,1,Sunday,1
20200316,2020-03-16,2020,3,1,Monday,0
20200317,2020-03-17,2020,3,1,Tuesday,0
20200318,2020-03-18,2020,3,1,Wednesday,0
20200319,2020-03-19,2020,3,1,Thursday,0
20200320,2020-03-20,2020,3,1,Friday,0
20200321,2020-03-21,2020,3,1,Saturday,1
20200322,2020-03-22,2020,3,1,Sunday,1
20200323,2020-03-23,2020,3,1,Monday,0
20200324,2020-03-24,2020,3,1,Tuesday,0
20200325,2020-03-25,2020,3,1,Wednesday,0
20200326,2020-03-26,2020,3,1,Thursday,0
20200327,2020-03-27,2020,3,1,Friday,0
20200328,2020-03-28,2020,3,1,Saturday,1
20200329,2020-03-29,2020,3,1,Sunday,1
20200330,2020-03-30,2020,3,1,Monday,0
20200331,2020-03-31,2020,3,1,Tuesday,0
20200401,2020-04-01,2020,4,2,Wednesday,0
20200402,2020-04-02,2020,4,2,Thursday,0
20200403,2020-04-03,2020,4,2,Friday,0
20200404,2020-04-04,2020,4,2,Saturday,1
20200405,2020-04-05,2020,4,2,Sunday,1
20200406,2020-04-06,2020,4,2,Monday,0
20200407,2020-04-07,2020,4,2,Tuesday,0
20200408,2020-04-08,2020,4,2,Wednesday,0
20200409,2020-04-09,2020,4,2,Thursday,0
20200410,2020-04-10,2020,4,2,Friday,0
20200411,2020-04-11,2020,4,2,Saturday,1
20200412,2020-04-12,2020,4,2,Sunday,1
20200413,2020-04-13,2020,4,2,Monday,0
20200414,2020-04-14,2020,4,2,Tuesday,0
20200415,2020-04-15,2020,4,2,Wednesday,0
20200416,2020-04-16,2020,4,2,Thursday,0
20200417,2020-04-17,2020,4,2,Friday,0
20200418,2020-04-18,2020,4,2,Saturday,1
20200419,2020-04-19,2020,4,2,Sunday,1
20200420,2020-04-20,2020,4,2,Monday,0
20200421,2020-04-21,2020,4,2,Tuesday,0
20200422,2020-04-22,2020,4,2,Wednesday,0
20200423,2020-04-23,2020,4,2,Thursday,0
20200424,2020-04-24,2020,4,2,Friday,0
20200425,2020-04-25,2020,4,2,Saturday,1
20200426,2020-04-26,2020,4,2,Sunday,1
20200427,2020-04-27,2020,4,2,Monday,0
20200428,2020-04-28,2020,4,2,Tuesday,0
20200429,2020-04-29,2020,4,2,Wednesday,0
20200430,2020-04-30,2020,4,2,Thursday,0
20200501,2020-05-01,2020,5,2,Friday,0
20200502,2020-05-02,2020,5,2,Saturday,1
20200503,2020-05-03,2020,5,2,Sunday,1
20200504,2020-05-04,2020,5,2,Monday,0
20200505,2020-05-05,2020,5,2,Tuesday,0
20200506,2020-05-06,2020,5,2,Wednesday,0
20200507,2020-05-07,2020,5,2,Thursday,0
20200508,2020-05-08,2020,5,2,Friday,0
20200509,2020-05-09,2020,5,2,Saturday,1
20200510,2020-05-10,2020,5,2,Sunday,1
20200511,2020-05-11,2020,5,2,Monday,0
20200512,2020-05-12,2020,5,2,Tuesday,0
20200513,2020-05-13,2020,5,2,Wednesday,0
20200514,2020-05-14,2020,5,2,Thursday,0
20200515,2020-05-15,2020,5,2,Friday,0
20200516,2020-05-16,2020,5,2,Saturday,1
20200517,2020-05-17,2020,5,2,Sunday,1
20200518,2020-05-18,2020,5,2,Monday,0
20200519,2020-05-19,2020,5,2,Tuesday,0
20200520,2020-05-20,2020,5,2,Wednesday,0
20200521,2020-05-21,2020,5,2,Thursday,0
20200522,2020-05-22,2020,5,2,Friday,0
20200523,2020-05-23,2020,5,2,Saturday,1
20200524,2020-05-24,2020,5,2,Sunday,1
20200525,2020-05-25,2020,5,2,Monday,0
20200526,2020-05-26,2020,5,2,Tuesday,0
20200527,2020-05-27,2020,5,2,Wednesday,0
20200528,2020-05-28,2020,5,2,Thursday,0
20200529,2020-05-29,2020,5,2,Friday,0
20200530,2020-05-30,2020,5,2,Saturday,1
20200531,2020-05-31,2020,5,2,Sunday,1
20200601,2020-06-01,2020,6,2,Monday,0
20200602,2020-06-02,2020,6,2,Tuesday,0
20200603,2020-06-03,2020,6,2,Wednesday,0
20200604,2020-06-04,2020,6,2,Thursday,0
20200605,2020-06-05,2020,6,2,Friday,0
20200606,2020-06-06,2020,6,2,Saturday,1
20200607,2020-06-07,2020,6,2,Sunday,1
20200608,2020-06-08,2020,6,2,Monday,0
20200609,2020-06-09,2020,6,2,Tuesday,0
20200610,2020-06-10,2020,6,2,Wednesday,0
20200611,2020-06-11,2020,6,2,Thursday,0
20200612,2020-06-12,2020,6,2,Friday,0
20200613,2020-06-13,2020,6,2,Saturday,1
20200614,2020-06-14,2020,6,2,Sunday,1
20200615,2020-06-15,2020,6,2,Monday,0
20200616,2020-06-16,2020,6,2,Tuesday,0
20200617,2020-06-17,2020,6,2,Wednesday,0
20200618,2020-06-18,2020,6,2,Thursday,0
20200619,2020-06-19,2020,6,2,Friday,0
20200620,2020-06-20,2020,6,2,Saturday,1
20200621,2020-06-21,2020,6,2,Sunday,1
20200622,2020-06-22,2020,6,2,Monday,0
20200623,2020-06-23,2020,6,2,Tuesday,0
20200624,2020-06-24,2020,6,2,Wednesday,0
20200625,2020-06-25,2020,6,2,Thursday,0
20200626,2020-06-26,2020,6,2,Friday,0
20200627,2020-06-27,2020,6,2,Saturday,1
20200628,2020-06-28,2020,6,2,Sunday,1
20200629,2020-06-29,2020,6,2,Monday,0
20200630,2020-06-30,2020,6,2,Tuesday,0
20200701,2020-07-01,2020,7,3,Wednesday,0
20200702,2020-07-02,2020,7,3,Thursday,0
20200703,2020-07-03,2020,7,3,Friday,0
20200704,2020-07-04,2020,7,3,Saturday,1
20200705,2020-07-05,2020,7,3,Sunday,1
20200706,2020-07-06,2020,7,3,Monday,0
20200707,2020-07-07,2020,7,3,Tuesday,0
20200708,2020-07-08,2020,7,3,Wednesday,0
20200709,2020-07-09,2020,7,3,Thursday,0
20200710,2020-07-10,2020,7,3,Friday,0
20200711,2020-07-11,2020,7,3,Saturday,1
20200712,2020-07-12,2020,7,3,Sunday,1
20200713,2020-07-13,2020,7,3,Monday,0
20200714,2020-07-14,2020,7,3,Tuesday,0
20200715,2020-07-15,2020,7,3,Wednesday,0
20200716,2020-07-16,2020,7,3,Thursday,0
20200717,2020-07-17,2020,7,3,Friday,0
20200718,2020-07-18,2020,7,3,Saturday,1
20200719,2020-07-19,2020,7,3,Sunday,1
20200720,2020-07-20,2020,7,3,Monday,0
20200721,2020-07-21,2020,7,3,Tuesday,0
20200722,2020-07-22,2020,7,3,Wednesday,0
20200723,2020-07-23,2020,7,3,Thursday,0
20200724,2020-07-24,2020,7,3,Friday,0
20200725,2020-07-25,2020,7,3,Saturday,1
20200726,2020-07-26,2020,7,3,Sunday,1
20200727,2020-07-27,2020,7,3,Monday,0
20200728,2020-07-28,2020,7,3,Tuesday,0
20200729,2020-07-29,2020,7,3,Wednesday,0
20200730,2020-07-30,2020,7,3,Thursday,0
20200731,2020-07-31,2020,7,3,Friday,0
20200801,2020-08-01,2020,8,3,Saturday,1
20200802,2020-08-02,2020,8,3,Sunday,1
20200803,2020-08-03,2020,8,3,Monday,0
20200804,2020-08-04,2020,8,3,Tuesday,0
20200805,2020-08-05,2020,8,3,Wednesday,0
20200806,2020-08-06,2020,8,3,Thursday,0
20200807,2020-08-07,2020,8,3,Friday,0
20200808,2020-08-08,2020,8,3,Saturday,1
20200809,2020-08-09,2020,8,3,Sunday,1
20200810,2020-08-10,2020,8,3,Monday,0
20200811,2020-08-11,2020,8,3,Tuesday,0
20200812,2020-08-12,2020,8,3,Wednesday,0
20200813,2020-08-13,2020,8,3,Thursday,0
20200814,2020-08-14,2020,8,3,Friday,0
20200815,2020-08-15,2020,8,3,Saturday,1
20200816,2020-08-16,2020,8,3,Sunday,1
20200817,2020-08-17,2020,8,3,Monday,0
20200818,2020-08-18,2020,8,3,Tuesday,0
20200819,2020-08-19,2020,8,3,Wednesday,0
20200820,2020-08-20,2020,8,3,Thursday,0
20200821,2020-08-21,2020,8,3,Friday,0
20200822,2020-08-22,2020,8,3,Saturday,1
20200823,2020-08-23,2020,8,3,Sunday,1
20200824,2020-08-24,2020,8,3,Monday,0
20200825,2020-08-25,2020,8,3,Tuesday,0
20200826,2020-08-26,2020,8,3,Wednesday,0
20200827,2020-08-27,2020,8,3,Thursday,0
20200828,2020-08-28,2020,8,3,Friday,0
20200829,2020-08-29,2020,8,3,Saturday,1
20200830,2020-08-30,2020,8,3,Sunday,1
20200831,2020-08-31,2020,8,3,Monday,0
20200901,2020-09-01,2020,9,3,Tuesday,0
20200902,2020-09-02,2020,9,3,Wednesday,0
20200903,2020-09-03,2020,9,3,Thursday,0
20200904,2020-09-04,2020,9,3,Friday,0
20200905,2020-09-05,2020,9,3,Saturday,1
20200906,2020-09-06,2020,9,3,Sunday,1
20200907,2020-09-07,2020,9,3,Monday,0
20200908,2020-09-08,2020,9,3,Tuesday,0
20200909,2020-09-09,2020,9,3,Wednesday,0
20200910,2020-09-10,2020,9,3,Thursday,0
20200911,2020-09-11,2020,9,3,Friday,0
20200912,2020-09-12,2020,9,3,Saturday,1
20200913,2020-09-13,2020,9,3,Sunday,1
20200914,2020-09-14,2020,9,3,Monday,0
20200915,2020-09-15,2020,9,3,Tuesday,0
20200916,2020-09-16,2020,9,3,Wednesday,0
20200917,2020-09-17,2020,9,3,Thursday,0
20200918,2020-09-18,2020,9,3,Friday,0
20200919,2020-09-19,2020,9,3,Saturday,1
20200920,2020-09-20,2020,9,3,Sunday,1
20200921,2020-09-21,2020,9,3,Monday,0
20200922,2020-09-22,2020,9,3,Tuesday,0
20200923,2020-09-23,2020,9,3,Wednesday,0
20200924,2020-09-24,2020,9,3,Thursday,0
20200925,2020-09-25,2020,9,3,Friday,0
20200926,2020-09-26,2020,9,3,Saturday,1
20200927,2020-09-27,2020,9,3,Sunday,1
20200928,2020-09-28,2020,9,3,Monday,0
20200929,2020-09-29,2020,9,3,Tuesday,0
20200930,2020-09-30,2020,9,3,Wednesday,0
20201001,2020-10-01,2020,10,4,Thursday,0
20201002,2020-10-02,2020,10,4,Friday,0
20201003,2020-10-03,2020,10,4,Saturday,1
20201004,2020-10-04,2020,10,4,Sunday,1
20201005,2020-10-05,2020,10,4,Monday,0
20201006,2020-10-06,2020,10,4,Tuesday,0
20201007,2020-10-07,2020,10,4,Wednesday,0
20201008,2020-10-08,2020,10,4,Thursday,0
20201009,2020-10-09,2020,10,4,Friday,0
20201010,2020-10-10,2020,10,4,Saturday,1
20201011,2020-10-11,2020,10,4,Sunday,1
20201012,2020-10-12,2020,10,4,Monday,0
20201013,2020-10-13,2020,10,4,Tuesday,0
20201014,2020-10-14,2020,10,4,Wednesday,0
20201015,2020-10-15,2020,10,4,Thursday,0
20201016,2020-10-16,2020,10,4,Friday,0
20201017,2020-10-17,2020,10,4,Saturday,1
20201018,2020-10-18,2020,10,4,Sunday,1
20201019,2020-10-19,2020,10,4,Monday,0
20201020,2020-10-20,2020,10,4,Tuesday,0
20201021,2020-10-21,2020,10,4,Wednesday,0
20201022,2020-10-22,2020,10,4,Thursday,0
20201023,2020-10-23,2020,10,4,Friday,0
20201024,2020-10-24,2020,10,4,Saturday,1
20201025,2020-10-25,2020,10,4,Sunday,1
20201026,2020-10-26,2020,10,4,Monday,0
20201027,2020-10-27,2020,10,4,Tuesday,0
20201028,2020-10-28,2020,10,4,Wednesday,0
20201029,2020-10-29,2020,10,4,Thursday,0
20201030,2020-10-30,2020,10,4,Friday,0
20201031,2020-10-31,2020,10,4,Saturday,1
20201101,2020-11-01,2020,11,4,Sunday,1
20201102,2020-11-02,2020,11,4,Monday,0
20201103,2020-11-03,2020,11,4,Tuesday,0
20201104,2020-11-04,2020,11,4,Wednesday,0
20201105,2020-11-05,2020,11,4,Thursday,0
20201106,2020-11-06,2020,11,4,Friday,0
20201107,2020-11-07,2020,11,4,Saturday,1
20201108,2020-11-08,2020,11,4,Sunday,1
20201109,2020-11-09,2020,11,4,Monday,0
20201110,2020-11-10,2020,11,4,Tuesday,0
20201111,2020-11-11,2020,11,4,Wednesday,0
20201112,2020-11-12,2020,11,4,Thursday,0
20201113,2020-11-13,2020,11,4,Friday,0
20201114,2020-11-14,2020,11,4,Saturday,1
20201115,2020-11-15,2020,11,4,Sunday,1
20201116,2020-11-16,2020,11,4,Monday,0
20201117,2020-11-17,2020,11,4,Tuesday,0
20201118,2020-11-18,2020,11,4,Wednesday,0
20201119,2020-11-19,2020,11,4,Thursday,0
20201120,2020-11-20,2020,11,4,Friday,0
20201121,2020-11-21,2020,11,4,Saturday,1
20201122,2020-11-22,2020,11,4,Sunday,1
20201123,2020-11-23,2020,11,4,Monday,0
20201124,2020-11-24,2020,11,4,Tuesday,0
20201125,2020-11-25,2020,11,4,Wednesday,0
20201126,2020-11-26,2020,11,4,Thursday,0
20201127,2020-11-27,2020,11,4,Friday,0
20201128,2020-11-28,2020,11,4,Saturday,1
20201129,2020-11-29,2020,11,4,Sunday,1
20201130,2020-11-30,2020,11,4,Monday,0
20201201,2020-12-01,2020,12,4,Tuesday,0
20201202,2020-12-02,2020,12,4,Wednesday,0
20201203,2020-12-03,2020,12,4,Thursday,0
20201204,2020-12-04,2020,12,4,Friday,0
20201205,2020-12-05,2020,12,4,Saturday,1
20201206,2020-12-06,2020,12,4,Sunday,1
20201207,2020-12-07,2020,12,4,Monday,0
20201208,2020-12-08,2020,12,4,Tuesday,0
20201209,2020-12-09,2020,12,4,Wednesday,0
20201210,2020-12-10,2020,12,4,Thursday,0
20201211,2020-12-11,2020,12,4,Friday,0
20201212,2020-12-12,2020,12,4,Saturday,1
20201213,2020-12-13,2020,12,4,Sunday,1
20201214,2020-12-14,2020,12,4,Monday,0
20201215,2020-12-15,2020,12,4,Tuesday,0
20201216,2020-12-16,2020,12,4,Wednesday,0
20201217,2020-12-17,2020,12,4,Thursday,0
20201218,2020-12-18,2020,12,4,Friday,0
20201219,2020-12-19,2020,12,4,Saturday,1
20201220,2020-12-20,2020,12,4,Sunday,1
20201221,2020-12-21,2020,12,4,Monday,0
20201222,2020-12-22,2020,12,4,Tuesday,0
20201223,2020-12-23,2020,12,4,Wednesday,0
20201224,2020-12-24,2020,12,4,Thursday,0
20201225,2020-12-25,2020,12,4,Friday,0
20201226,2020-12-26,2020,12,4,Saturday,1
20201227,2020-12-27,2020,12,4,Sunday,1
20201228,2020-12-28,2020,12,4,Monday,0
20201229,2020-12-29,2020,12,4,Tuesday,0
20201230,2020-12-30,2020,12,4,Wednesday,0
20201231,2020-12-31,2020,12,4,Thursday,0
20210101,2021-01-01,2021,1,1,Friday,0
20210102,2021-01-02,2021,1,1,Saturday,1
20210103,2021-01-03,2021,1,1,Sunday,1
20210104,2021-01-04,2021,1,1,Monday,0
20210105,2021-01-05,2021,1,1,Tuesday,0
20210106,2021-01-06,2021,1,1,Wednesday,0
20210107,2021-01-07,2021,1,1,Thursday,0
20210108,2021-01-08,2021,1,1,Friday,0
20210109,2021-01-09,2021,1,1,Saturday,1
20210110,2021-01-10,2021,1,1,Sunday,1
20210111,2021-01-11,2021,1,1,Monday,0
20210112,2021-01-12,2021,1,1,Tuesday,0
20210113,2021-01-13,2021,1,1,Wednesday,0
20210114,2021-01-14,2021,1,1,Thursday,0
20210115,2021-01-15,2021,1,1,Friday,0
20210116,2021-01-16,2021,1,1,Saturday,1
20210117,2021-01-17,2021,1,1,Sunday,1
20210118,2021-01-18,2021,1,1,Monday,0
20210119,2021-01-19,2021,1,1,Tuesday,0
20210120,2021-01-20,2021,1,1,Wednesday,0
20210121,2021-01-21,2021,1,1,Thursday,0
20210122,2021-01-22,2021,1,1,Friday,0
20210123,2021-01-23,2021,1,1,Saturday,1
20210124,2021-01-24,2021,1,1,Sunday,1
20210125,2021-01-25,2021,1,1,Monday,0
20210126,2021-01-26,2021,1,1,Tuesday,0
20210127,2021-01-27,2021,1,1,Wednesday,0
20210128,2021-01-28,2021,1,1,Thursday,0
20210129,2021-01-29,2021,1,1,Friday,0
20210130,2021-01-30,2021,1,1,Saturday,1
20210131,2021-01-31,2021,1,1,Sunday,1
20210201,2021-02-01,2021,2,1,Monday,0
20210202,2021-02-02,2021,2,1,Tuesday,0
20210203,2021-02-03,2021,2,1,Wednesday,0
20210204,2021-02-04,2021,2,1,Thursday,0
20210205,2021-02-05,2021,2,1,Friday,0
20210206,2021-02-06,2021,2,1,Saturday,1
20210207,2021-02-07,2021,2,1,Sunday,1
20210208,2021-02-08,2021,2,1,Monday,0
20210209,2021-02-09,2021,2,1,Tuesday,0
20210210,2021-02-10,2021,2,1,Wednesday,0
20210211,2021-02-11,2021,2,1,Thursday,0
20210212,2021-02-12,2021,2,1,Friday,0
20210213,2021-02-13,2021,2,1,Saturday,1
20210214,2021-02-14,2021,2,1,Sunday,1
20210215,2021-02-15,2021,2,1,Monday,0
20210216,2021-02-16,2021,2,1,Tuesday,0
20210217,2021-02-17,2021,2,1,Wednesday,0
20210218,2021-02-18,2021,2,1,Thursday,0
20210219,2021-02-19,2021,2,1,Friday,0
20210220,2021-02-20,2021,2,1,Saturday,1
20210221,2021-02-21,2021,2,1,Sunday,1
20210222,2021-02-22,2021,2,1,Monday,0
20210223,2021-02-23,2021,2,1,Tuesday,0
20210224,2021-02-24,2021,2,1,Wednesday,0
20210225,2021-02-25,2021,2,1,Thursday,0
20210226,2021-02-26,2021,2,1,Friday,0
20210227,2021-02-27,2021,2,1,Saturday,1
20210228,2021-02-28,2021,2,1,Sunday,1
20210301,2021-03-01,2021,3,1,Monday,0
20210302,2021-03-02,2021,3,1,Tuesday,0
20210303,2021-03-03,2021,3,1,Wednesday,0
20210304,2021-03-04,2021,3,1,Thursday,0
20210305,2021-03-05,2021,3,1,Friday,0
20210306,2021-03-06,2021,3,1,Saturday,1
20210307,2021-03-07,2021,3,1,Sunday,1
20210308,2021-03-08,2021,3,1,Monday,0
20210309,2021-03-09,2021,3,1,Tuesday,0
20210310,2021-03-10,2021,3,1,Wednesday,0
20210311,2021-03-11,2021,3,1,Thursday,0
20210312,2021-03-12,2021,3,1,Friday,0
20210313,2021-03-13,2021,3,1,Saturday,1
20210314,2021-03-14,2021,3,1,Sunday,1
20210315,2021-03-15,2021,3,1,Monday,0
20210316,2021-03-16,2021,3,1,Tuesday,0
20210317,2021-03-17,2021,3,1,Wednesday,0
20210318,2021-03-18,2021,3,1,Thursday,0
20210319,2021-03-19,2021,3,1,Friday,0
20210320,2021-03-20,2021,3,1,Saturday,1
20210321,2021-03-21,2021,3,1,Sunday,1
20210322,2021-03-22,2021,3,1,Monday,0
20210323,2021-03-23,2021,3,1,Tuesday,0
20210324,2021-03-24,2021,3,1,Wednesday,0
20210325,2021-03-25,2021,3,1,Thursday,0
20210326,2021-03-26,2021,3,1,Friday,0
20210327,2021-03-27,2021,3,1,Saturday,1
20210328,2021-03-28,2021,3,1,Sunday,1
20210329,2021-03-29,2021,3,1,Monday,0
20210330,2021-03-30,2021,3,1,Tuesday,0
20210331,2021-03-31,2021,3,1,Wednesday,0
20210401,2021-04-01,2021,4,2,Thursday,0
20210402,2021-04-02,2021,4,2,Friday,0
20210403,2021-04-03,2021,4,2,Saturday,1
20210404,2021-04-04,2021,4,2,Sunday,1
20210405,2021-04-05,2021,4,2,Monday,0
20210406,2021-04-06,2021,4,2,Tuesday,0
20210407,2021-04-07,2021,4,2,Wednesday,0
20210408,2021-04-08,2021,4,2,Thursday,0
20210409,2021-04-09,2021,4,2,Friday,0
20210410,2021-04-10,2021,4,2,Saturday,1
20210411,2021-04-11,2021,4,2,Sunday,1
20210412,2021-04-12,2021,4,2,Monday,0
20210413,2021-04-13,2021,4,2,Tuesday,0
20210414,2021-04-14,2021,4,2,Wednesday,0
20210415,2021-04-15,2021,4,2,Thursday,0
20210416,2021-04-16,2021,4,2,Friday,0
20210417,2021-04-17,2021,4,2,Saturday,1
20210418,2021-04-18,2021,4,2,Sunday,1
20210419,2021-04-19,2021,4,2,Monday,0
20210420,2021-04-20,2021,4,2,Tuesday,0
20210421,2021-04-21,2021,4,2,Wednesday,0
20210422,2021-04-22,2021,4,2,Thursday,0
20210423,2021-04-23,2021,4,2,Friday,0
20210424,2021-04-24,2021,4,2,Saturday,1
20210425,2021-04-25,2021,4,2,Sunday,1
20210426,2021-04-26,2021,4,2,Monday,0
20210427,2021-04-27,2021,4,2,Tuesday,0
20210428,2021-04-28,2021,4,2,Wednesday,0
20210429,2021-04-29,2021,4,2,Thursday,0
20210430,2021-04-30,2021,4,2,Friday,0
20210501,2021-05-01,2021,5,2,Saturday,1
20210502,2021-05-02,2021,5,2,Sunday,1
20210503,2021-05-03,2021,5,2,Monday,0
20210504,2021-05-04,2021,5,2,Tuesday,0
20210505,2021-05-05,2021,5,2,Wednesday,0
20210506,2021-05-06,2021,5,2,Thursday,0
20210507,2021-05-07,2021,5,2,Friday,0
20210508,2021-05-08,2021,5,2,Saturday,1
20210509,2021-05-09,2021,5,2,Sunday,1
20210510,2021-05-10,2021,5,2,Monday,0
20210511,2021-05-11,2021,5,2,Tuesday,0
20210512,2021-05-12,2021,5,2,Wednesday,0
20210513,2021-05-13,2021,5,2,Thursday,0
20210514,2021-05-14,2021,5,2,Friday,0
20210515,2021-05-15,2021,5,2,Saturday,1
20210516,2021-05-16,2021,5,2,Sunday,1
20210517,2021-05-17,2021,5,2,Monday,0
20210518,2021-05-18,2021,5,2,Tuesday,0
20210519,2021-05-19,2021,5,2,Wednesday,0
20210520,2021-05-20,2021,5,2,Thursday,0
20210521,2021-05-21,2021,5,2,Friday,0
20210522,2021-05-22,2021,5,2,Saturday,1
20210523,2021-05-23,2021,5,2,Sunday,1
20210524,2021-05-24,2021,5,2,Monday,0
20210525,2021-05-25,2021,5,2,Tuesday,0
20210526,2021-05-26,2021,5,2,Wednesday,0
20210527,2021-05-27,2021,5,2,Thursday,0
20210528,2021-05-28,2021,5,2,Friday,0
20210529,2021-05-29,2021,5,2,Saturday,1
20210530,2021-05-30,2021,5,2,Sunday,1
20210531,2021-05-31,2021,5,2,Monday,0
20210601,2021-06-01,2021,6,2,Tuesday,0
20210602,2021-06-02,2021,6,2,Wednesday,0
20210603,2021-06-03,2021,6,2,Thursday,0
20210604,2021-06-04,2021,6,2,Friday,0
20210605,2021-06-05,2021,6,2,Saturday,1
20210606,2021-06-06,2021,6,2,Sunday,1
20210607,2021-06-07,2021,6,2,Monday,0
20210608,2021-06-08,2021,6,2,Tuesday,0
20210609,2021-06-09,2021,6,2,Wednesday,0
20210610,2021-06-10,2021,6,2,Thursday,0
20210611,2021-06-11,2021,6,2,Friday,0
20210612,2021-06-12,2021,6,2,Saturday,1
20210613,2021-06-13,2021,6,2,Sunday,1
20210614,2021-06-14,2021,6,2,Monday,0
20210615,2021-06-15,2021,6,2,Tuesday,0
20210616,2021-06-16,2021,6,2,Wednesday,0
20210617,2021-06-17,2021,6,2,Thursday,0
20210618,2021-06-18,2021,6,2,Friday,0
20210619,2021-06-19,2021,6,2,Saturday,1
20210620,2021-06-20,2021,6,2,Sunday,1
20210621,2021-06-21,2021,6,2,Monday,0
20210622,2021-06-22,2021,6,2,Tuesday,0
20210623,2021-06-23,2021,6,2,Wednesday,0
20210624,2021-06-24,2021,6,2,Thursday,0
20210625,2021-06-25,2021,6,2,Friday,0
20210626,2021-06-26,2021,6,2,Saturday,1
20210627,2021-06-27,2021,6,2,Sunday,1
20210628,2021-06-28,2021,6,2,Monday,0
20210629,2021-06-29,2021,6,2,Tuesday,0
20210630,2021-06-30,2021,6,2,Wednesday,0
20210701,2021-07-01,2021,7,3,Thursday,0
20210702,2021-07-02,2021,7,3,Friday,0
20210703,2021-07-03,2021,7,3,Saturday,1
20210704,2021-07-04,2021,7,3,Sunday,1
20210705,2021-07-05,2021,7,3,Monday,0
20210706,2021-07-06,2021,7,3,Tuesday,0
20210707,2021-07-07,2021,7,3,Wednesday,0
20210708,2021-07-08,2021,7,3,Thursday,0
20210709,2021-07-09,2021,7,3,Friday,0
20210710,2021-07-10,2021,7,3,Saturday,1
